"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1",Comment
"s","%RH","lx","kPa","kPa","dBA","°C"
"480","48.3","263","99.0","99.99","40.0","32.1"
"480.96","48.3","233","98.8","99.97","70.2","31.9"
"481.92","48.3","194","99.0","100.00","68.5","31.7"
"482.88","48.3","224","98.8","100.02","67.0","31.6"
"483.84","48.2","220","99.0","99.97","67.6","31.4"
"484.8","48.2","195","98.8","99.99","50.4","31.2"
"485.76","48.2","179","99.0","99.98","40.0","31.0"
"486.72","48.2","121","99.0","99.98","67.8","30.9"
"487.68","48.1","123","98.8","100.02","40.0","30.7"
"488.64","48.1","146","99.0","100.00","54.2","30.5"
"489.6","48.1","237","98.8","100.02","73.2","30.4"
"490.56","48.0","251","98.8","99.99","63.2","30.2"
"491.52","48.0","252","99.0","100.02","40.0","30.1"
"492.48","48.0","252","99.0","99.98","48.8","30.0"
"493.44","48.0","252","99.0","100.02","40.0","29.8"
"494.4","47.9","253","99.0","99.99","40.0","29.7"
"495.36","47.9","253","99.0","100.00","40.0","29.5"
"496.32","47.8","253","99.0","100.01","40.0","29.4"
"497.28","47.8","253","99.0","99.99","50.7","29.3"
"498.24","47.8","253","99.0","99.97","63.2","29.2"
"499.2","47.8","253","99.0","100.00","51.8","29.1"
"500.16","47.8","254","98.8","99.98","40.0","29.0"
"501.12","47.7","241","99.0","99.99","65.3","28.8"
"502.08","47.7","127","98.8","100.02","77.2","28.7"
"503.04","47.7","94","98.8","100.01","50.5","28.6"
"504","47.6","88","99.0","100.02","73.4","28.5"
"504.96","47.6","85","98.8","99.99","40.0","28.5"
"505.92","47.6","78","99.0","100.02","67.2","28.3"
"506.88","47.5","84","99.0","100.01","40.0","28.3"
"507.84","47.6","85","99.0","100.00","40.0","28.2"
"508.8","47.6","74","98.8","99.99","90.7","28.1"
"509.76","47.6","72","99.0","99.99","49.8","28.0"
"510.72","47.7","95","99.0","99.97","82.5","27.9"
"511.68","47.7","132","99.0","99.98","67.2","27.8"
"512.64","47.7","130","99.0","99.95","40.0","27.8"
"513.6","47.8","127","98.8","99.99","62.6","27.7"
"514.56","47.8","234","98.8","100.01","40.0","27.6"
"515.52","47.8","251","99.0","100.01","40.0","27.5"
"516.48","47.8","144","98.8","100.01","67.3","27.4"
"517.44","47.8","121","99.0","100.00","66.4","27.4"
"518.4","47.8","124","99.0","99.98","40.0","27.3"
"519.36","47.8","125","99.0","100.01","61.1","27.2"
"520.32","47.7","124","98.8","99.98","71.2","27.2"
"521.28","47.7","188","99.0","100.00","71.9","27.1"
"522.24","47.7","229","99.0","99.99","66.2","27.0"
"523.2","47.6","234","99.0","99.97","76.8","27.0"
"524.16","47.6","235","99.0","99.99","40.0","26.9"
"525.12","47.6","237","98.8","100.00","40.0","26.9"
"526.08","47.6","238","98.8","100.00","40.0","26.8"
"527.04","47.5","239","99.0","100.03","57.3","26.8"
"528","47.5","238","98.8","100.00","68.6","26.7"
"528.96","47.5","236","99.0","100.00","69.9","26.6"
"529.92","47.5","235","99.0","99.99","72.4","26.6"
"530.88","47.4","235","99.0","99.96","74.1","26.5"
"531.84","47.4","232","99.0","100.00","77.0","26.5"
"532.8","47.4","158","98.8","99.97","76.7","26.4"
"533.76","47.4","151","99.0","99.97","85.6","26.4"
"534.72","47.4","78","99.0","99.99","95.5","26.3"
"535.68","47.3","56","99.0","99.99","95.6","26.3"
"536.64","47.3","58","99.0","100.00","94.5","26.2"
"537.6","47.3","56","99.0","99.99","90.9","26.2"
"538.56","47.3","56","99.0","100.01","90.9","26.1"
"539.52","47.3","55","99.0","99.99","90.3","26.0"
"540.48","47.2","52","99.0","99.99","91.7","26.0"
"541.44","47.2","64","99.0","99.97","92.9","26.0"
"542.4","47.2","68","98.8","100.01","92.0","25.9"
"543.36","47.2","67","99.0","100.01","90.8","25.9"
"544.32","47.1","56","98.8","100.02","92.1","25.8"
"545.28","47.1","58","99.0","100.01","91.6","25.8"
"546.24","47.1","52","99.0","100.02","88.3","25.8"
"547.2","47.1","72","99.0","99.99","82.0","25.7"
"548.16","47.1","86","99.0","99.98","85.6","25.7"
"549.12","47.1","88","99.0","100.00","79.8","25.6"
"550.08","47.1","64","99.0","99.98","87.8","25.6"
"551.04","47.0","43","99.0","99.98","91.1","25.6"
"552","47.0","35","99.0","99.98","93.6","25.5"
"552.96","47.0","36","99.0","100.01","90.5","25.5"
"553.92","47.0","49","99.0","99.98","93.7","25.4"
"554.88","47.0","48","99.0","100.01","94.3","25.4"
"555.84","46.9","50","99.0","100.00","86.6","25.4"
"556.8","46.9","39","98.8","99.99","91.3","25.3"
"557.76","46.9","34","99.0","100.00","89.1","25.3"
"558.72","46.9","38","99.0","99.99","89.2","25.3"
"559.68","46.8","45","99.0","100.00","90.5","25.2"
"560.64","46.8","71","99.0","99.99","77.0","25.2"
"561.6","46.8","110","99.0","100.01","73.8","25.1"
"562.56","46.8","112","99.0","99.98","72.3","25.1"
"563.52","46.8","105","99.0","99.96","71.6","25.1"
"564.48","46.8","119","99.0","100.00","56.8","25.1"
"565.44","46.8","119","99.0","99.99","58.9","25.0"
"566.4","46.7","142","99.0","99.98","69.6","25.0"
"567.36","46.7","142","99.0","100.01","52.4","25.0"
"568.32","46.7","192","99.0","100.00","64.8","25.0"
"569.28","46.7","217","99.0","100.00","67.3","24.9"
"570.24","46.7","221","99.0","100.01","68.3","24.9"
"571.2","46.7","219","99.0","99.99","55.0","24.9"
"572.16","46.7","159","99.0","99.98","40.0","24.9"
"573.12","46.6","210","99.0","100.00","75.9","24.8"
"574.08","46.6","223","99.0","99.98","59.7","24.8"
"575.04","46.6","224","99.0","99.99","76.9","24.8"
"576","46.6","224","99.0","100.00","62.6","24.8"
